language,term,translation,parent,status
Spanish,terrorismo,terrorism,,1
Spanish,desagradable,unpleasant; painful; unkind,,1
Spanish,impresión,impression; Print; imprint,,1
Spanish,empleo,(I) use; job; employment,,1
Spanish,libertad,freedom; liberty,,1
Spanish,intención,intention; purpose,,1
Spanish,gobernador,governor,,1
Spanish,periodismo,journalism,,1
Spanish,desventaja,disadvantage,,1
Spanish,muerte,death,,1
Spanish,pobreza,poor quality; poverty; poorness,,1
Spanish,educación,education; upbringing; manners,,1
Spanish,estabilidad,stability,,1
Spanish,esperanza,hope; hopeful,,1
Spanish,ecología,ecology,,1
Spanish,democracia,democracy,,1
Spanish,noticiero,newscast; news station; news,,1
Spanish,dictadura,dictatorship,,1
Spanish,investigar,explore; investigate; study,,1
Spanish,perejil,parsley,,1
Spanish,descongelar,thaw,,1
Spanish,seleccionar,pick; select,,1
Spanish,revolver,stir; stirring,,1
Spanish,perfectamente,perfectly,,1
Spanish,pelar,to peel; peel; peeling,,1
Spanish,sartén,frying pan; skillet; pan,,1
Spanish,agrio,sharp; sour; bitter,,1
Spanish,bailando,swiping; pinching; spinning,,1
Spanish,juez,judge; referee,,1
Spanish,amargo,bitter; painful; maté without sugar,,1
Spanish,harina,flour,,1
Spanish,cantando,singing; coughing,,1
Spanish,clara,light; clear; Clara,,1
Spanish,batiendo,beating,,1
Spanish,hirviendo,boiling,,1
Spanish,participante,competitor; participant; participating,,1
Spanish,hervir,(to) sterilize; (to) boil; (to) boiling,,1
Spanish,calabaza,pumpkin,,1
Spanish,realidad,reality,,1
Spanish,merecer,rate,,1
Spanish,una vez,once,,1
Spanish,demás,other; else,,1
Spanish,confiable,reliable,,1
Spanish,maravilla,wonderful; wonder,,1
Spanish,conforme,(I/he/she/it/you) satisfy; satisfy!; satisfied,,1
Spanish,piense,think; thinks,,1
Spanish,pienses,(you) expect; (you) think; (you) think about,,1
Spanish,hogar,home; hearth; house,,1
Spanish,cómpralo,buy it,,1
Spanish,cómprelo,buy it,,1
Spanish,fenomenal,phenomenal; great; greatest,,1
Spanish,encuentre,(I/he/she/it/you) come on; (I/he/she/it/you) come upon / on; come across!,,1
Spanish,ahorra,(you-formal) save oneself; (he/she/it) saves (oneself); (you-formal) spare oneself,,1
Spanish,comercial,business; commercial; business school,,1
